Developer,Project,"First Quarter","Last Quarter","Total Quarters Active",Contributions
"A. Unique TensorFlower",grimoirelab,"April 1st 2018","January 1st 2023",20,"25,705"
"TensorFlower Gardener",grimoirelab,"July 1st 2018","January 1st 2023",19,"7,189"
"Mihai Maruseac",grimoirelab,"July 1st 2018","January 1st 2023",35,"5,349"
"Yong Tang",grimoirelab,"April 1st 2018","January 1st 2023",20,"1,139"
"Raman Sarokin",grimoirelab,"January 1st 2020","January 1st 2023",13,"1,132"
"Adrian Kuegel",grimoirelab,"April 1st 2018","January 1st 2023",20,"1,024"
"George Karpenkov",grimoirelab,"January 1st 2019","January 1st 2023",17,999
"Eugene Zhulenev",grimoirelab,"April 1st 2018","January 1st 2023",20,955
"Mehdi Amini",grimoirelab,"October 1st 2018","January 1st 2023",22,900
"Jacques Pienaar",grimoirelab,"April 1st 2018","January 1st 2023",20,893
"River Riddle",grimoirelab,"October 1st 2018","April 1st 2021",12,888
"Scott Zhu",grimoirelab,"April 1st 2018","January 1st 2023",20,864
"Peter Hawkins",grimoirelab,"April 1st 2018","January 1st 2023",21,833
"Amit Patankar",grimoirelab,"April 1st 2018","July 1st 2021",14,793
"Dan Moldovan",grimoirelab,"April 1st 2018","April 1st 2022",17,752
"Benjamin Kramer",grimoirelab,"April 1st 2018","January 1st 2023",20,732
"Gunhan Gulsoy",grimoirelab,"April 1st 2018","October 1st 2020",12,728
"Sanjoy Das",grimoirelab,"April 1st 2018","January 1st 2022",20,725
"Smit Hinsu",grimoirelab,"April 1st 2018","January 1st 2023",22,707
"Jiri Simsa",grimoirelab,"April 1st 2018","January 1st 2023",25,647
"Justin Lebar",grimoirelab,"April 1st 2018","January 1st 2023",17,629
"Derek Murray",grimoirelab,"April 1st 2018","April 1st 2020",10,615
"Allen Lavoie",grimoirelab,"April 1st 2018","July 1st 2022",17,596
"Christian Sigg",grimoirelab,"January 1st 2019","October 1st 2022",17,596
"Deven Desai",grimoirelab,"January 1st 2019","January 1st 2022",17,522
"Andy Ly",grimoirelab,"October 1st 2018","July 1st 2021",12,518
"Karim Nosir",grimoirelab,"October 1st 2018","July 1st 2022",16,512
"Alexander Belyaev",grimoirelab,"July 1st 2019","January 1st 2023",15,509
"Advait Jain",grimoirelab,"October 1st 2019","January 1st 2023",17,506
