"Data Source",Domain,Contributions,Contributors
git,"google.com","63,233",807
git,"tensorflow.org","43,631",4
git,"github.com","8,731",486
git,"nvidia.com","2,386",48
git,"intel.com","2,371",83
git,"outlook.com","1,565",23
git,"gunan-glaptop2.roam.corp.google.com","1,392",1
git,"nestlabs.com","1,221",1
git,"playingwithpointers.com",898,1
git,"arm.com",852,38
git,"huawei.com",495,11
git,"us.ibm.com",385,20
git,"amd.com",358,16
git,"yang-cs.com",355,1
git,"iisc.ac.in",268,1
git,"ibm.com",227,13
git,"graphcore.ai",198,8
git,"naml.us",193,1
git,"lamberta.org",183,1
git,"hotmail.com",174,27
git,"alum.mit.edu",136,3
git,"microsoft.com",126,15
git,"qq.com",123,36
git,"umich.edu",117,2
git,"amazon.com",116,9
git,"ceva-dsp.com",116,1
git,"tencent.com",113,6
git,"bdti.com",111,2
git,"codeplay.com",109,3
git,"163.com",106,13
git,"xtech.com",102,1
git,"synopsys.com",94,5
git,"kw.ac.kr",93,1
git,"yahoo.com",89,21
git,"perfinion.com",87,1
git,"jdns.org",76,1
git,"etacompute.com",68,1
git,"snu.ac.kr",65,6
git,"dfki.de",61,5
git,"linaro.org",61,3
git,"stylight.com",56,1
git,"jonas.eschle.com",54,1
git,"me.com",54,10
git,"edgeimpulse.com",51,2
git,"jp.ibm.com",50,1
git,"antmicro.com",40,6
git,"apache.org",37,4
git,"nyu.edu",36,2
git,"nsec.ac.in",33,1
git,"alibaba-inc.com",30,5
git,"ambiqmicro.com",29,2
git,"naver.com",28,11
git,"hello.com",27,1
git,"himax.com.tw",26,1
git,"fau.de",25,1
git,"ioremap.net",25,1
git,"babuschk.in",24,1
git,"pku.edu.cn",24,5
git,"gatech.edu",23,4
git,"polymagelabs.com",22,6
git,"bytedance.com",21,4
git,"nxp.com",21,2
git,"sparkfun.com",21,1
git,"systrangroup.com",21,1
git,"zalando.de",20,1
git,"erikbodin.com",18,1
git,"live.com",18,6
git,"126.com",17,10
git,"aliyun.com",17,2
git,"maxar.com",17,1
git,"applicative.io",16,1
git,"kth.se",16,4
git,"infineon.com",15,1
git,"bmsce.ac.in",14,1
